GRB	Time [UT]	Trigger Number	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	BAT Photon Index 90% Error (15-150 keV)	XRT RA (J2000)	XRT Dec (J2000)	XRT Time to First Observation [sec]	XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT 24 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT Initial Temporal Index	XRT Spectral Index (Gamma)	XRT Column Density (NH) [10^21 cm^-2]	UVOT RA (J2000)	UVOT Dec (J2000)	UVOT 90% Error Radius [arcsec]	UVOT Time to First Observation [sec]	UVOT Magnitude	UVOT Other Filter Magnitudes	Other Observatory Detections	Redshift	Host Galaxy	Comments	References	Burst Advocate
101219A	02:31:29	440606	74.586	-2.527	1.0	0.6	4.6	0.3	4.1	0.2	0.63, PL	0.09	04:58:20.49	-02:32:23.0	221.92	n/a	0.0001210944	0.000026662816	-1.94	1.53346	5.41159	n/a	n/a	n/a	278	V>19.7	B>20.3|U>20.5|UVW1>21.0|UVM2>20.2|UVW2>20.9|White>21.4	Konus-Wind	0.718 (Gemini-North: emission, host)	i~23.5 (Gemini-South)|J=21.6 (Magellan)	UVOT: no detection		Jonathan Gelbord
101129A	15:39:31	439471|Ground Analysis	155.921	-17.645	3	0.35	~0.9	~0.5	n/a	n/a	~0.8, PL	~0.5	n/a	n/a	39600	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	39600	n/a	n/a	Konus-Wind, Suzaku			XRT: no detection|UVOT: no detection		Jay Cummings
100724A	00:42:19	429868	194.569	-11.095	1.7	1.4	1.6	0.2	1.9	0.2	1.92, PL	0.21	12:58:10.37	-11:06:09.4	88.90	n/a	0.01544616	0.006768972	-1.057	1.94442	1.04041	n/a	n/a	n/a	74	V>18.31	U=18.17|B>18.99|UVW1>17.96|UVM2>18.19|UVW2>18.97|White>19.71	ESO/MPI (2.2m)	1.288 (VLT: absorption)		BAT: The observed T90 value for GRB 100724A is inconclusive. The relatively large spectral lag value and soft spectrum points towards long soft burst. Our conclusion is that this burst is likely to be in the long burst category.		Craig Markwardt
100702A	01:03:47	426438	245.693	-56.549	1.4	0.16	1.2	0.1	2.0	0.2	1.54, PL	0.15	n/a	n/a	93.93	93.1	0.00000000029589795	0.00000000000637137	-0.7605	2.51457	5.58224	n/a	n/a	n/a	101	n/a	n/a				UVOT: Field crowded with sources. There is no clear indication of change of optical flux between the first exposures and later ones. Please see GCN 10922 for details.		Mike Siegel
100628A	08:16:40	426114	225.943	-31.653	2.1	0.036	0.25	0.05	0.5	0.1	2.67, CPL	+1.8/-3.7	n/a	n/a	85.99	n/a	0.00458406	0.003961542	-0.1871	1.7722	1.0800553475	n/a	n/a	n/a	90	V>19.5	B>20.1|U>20.2|UVW1>19.6|UVM2>19.3|UVW2>20.3|White>21.4	INTEGRAL			XRT: Possible afterglow detection. We caution that with so few total counts a background fluctuation or other spurious detection cannot be completely ruled out.|UVOT: no detection		Stefan Immler
100625A	18:32:28	425647	15.796	-39.091	1.0	0.33	2.3	0.2	2.6	0.2	0.90, PL	0.10	01:03:10.91	-39:05:18.4	48.26	79.3	0.0003570171	0.00010624878	-1.554	2.40449	0.215000939284	n/a	n/a	n/a	56	V>20.3	B>21.9|U>20.5|UVW1>20.6|UVM2>20.5|UVW2>21.5|White>22.6	Konus-Wind, Fermi (GBM)		r~23 (Gemini-South),  r~23 (Magellan)	UVOT: no detection		Stephen Holland
100206A	13:30:05	411412	47.168	13.175	1.5	0.12	1.4	0.2	1.4	0.2	0.63, PL	0.17	03:08:39.03	13:09:25.3	74.62	n/a	0.00026054385	0.00011941545	n/a	3.05207	8.07487	n/a	n/a	n/a	78	V>20.1	B>21.2|U>20.5|UVW1>20.7|White>21.4	Fermi (GBM)		R=21.7, possible host (Palomar)|Possible host with z=0.41 (Keck)|J=18.35, H=17.55, Ks=16.56, possible host (PAIRITEL)|Second potential host (WHT, Gemini-North)			Hans Krimm
100117A	21:06:19	382941	11.280	-1.586	1.7	0.3	0.93	0.13	2.9	0.4	0.88, PL	0.22	00:45:04.56	-01:35:41.7	80.1	0.240	n/a	n/a	3.5	2.3	1.1	n/a	n/a	n/a	89	V>19.8	B>19.9 |U>19.9 |UVW1>20.1|UVM2>20.8|UVW2>20.9|White>20.4	Gemini South, Magellan, Gemini North, Fermi (GBM)			UVOT: no detection		Massimiliano De Pasquale
091117	17:44:29	IPN	30.945	-16.944	2.6	0.43	3.5	1.2	2.5	0.5	0.8, PL	0.3	n/a	n/a	96765	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	96767	See GCN 10184	See GCN 10184	Konus-Wind, Suzaku			Found in ground analysis after the Suzaku WAM alerted the IPN.|The BAT position is inside the error box of a triangulation performed using Konus-Wind, BAT, Suzaku-WAM, and INTEGRAL-SPI-ACS data. A Swift TOO observation has been requested and approved.|XRT: no detection|UVOT: no detection		Jay Cummings
091109B	21:49:03	375409	112.750	-54.092	1.2	0.3	1.9	0.2	5.4	0.4	0.71, PL	0.13	07:30:56.66	-54:05:24.6	78.16	n/a	0.008569311	0.004939574	-0.7061	2.055	1.891042	n/a	n/a	n/a	296	V>20.96	B>21.78|U>21.61|UVW1>21.44|UVM2>20.87|UVW2>20.52|White>22.09	VLT, Suzaku			UVOT: no detection		Sam Oates
